Town,Region
Kittery,1
Eliot,1
South Berwick,1
Berwick,1
Lebanon,1
Sanford,1
Kennebunk,1
Kennebunkport,1
Ogunquit,1
Alfred,1
Lyman,1
Waterboro,1
Acton,1
Shapleigh,1
Newfield,1
Parsonfield,1
Cornish,1
Limerick,1
Arundel,1
Biddeford,1
Saco,1
Dayton,1
Hollis,1
Buxton,1
Limington,1
Scarborough,1
Old Orchard Beach,1
Cape Elizabeth,1
South Portland,1
Portland,1
Westbrook,1
Gorham,1
Standish,1
Windham,1
Gray,1
Baldwin,1
Hiram,1
Porter,1
Brownfield,1
Fryeburg,1
Denmark,1
Sebago,1
Stow,1
Lovell,1
Sweden,1
Bridgton,1
Waterford,1
Harrison,1
Naples,1
Casco,1
Raymond,1
New Gloucester,1
Cumberland,1
North Yarmouth,1
Yarmouth,1
Freeport,1
Otisfield,1
Oxford,1
Mechanic Falls,1
Poland,1
Minot,1
Lewiston,1
Auburn,1
Durham,1
Pownal,1
Long Island,1
Chebeague Island,1
Brunswick,1
Topsham,1
Phippsburg,1
West Bath,1
Lisbon,1
Sabattus,1
Stoneham,1
Bath,1
Harpswell,1
York,1
Wells,1
North Berwick,1
Belfast,2
Northport,2
Camden,2
Rockport,2
Rockland,2
Bangor,4
Brewer,4
Blue Hill,4
Penobscot,4
Orland,4
Ellworth,4
Bar Harbor,4
Southwest Harbor,4
Cranberry Isles,4
Frenchboro,4
Orrington,4
Dixmont,4
Newburgh,4
Hampden,4
Holden,4
Tremont,4
Trenton,4
Lamoine,4
Hancock,4
Dedham,4
Otis,4
Mount Desert,4
Brooklin,4
Deer Isle,4
Stonington,4
Isle Au Haut,4
Sedgwick,4
Brooksville,4
Surry,4
Waltham,4
Franklin,4
Sullivan,4
Winter Harbor,4
Gouldsboro,4
Steuben,4
Millbridge,4
Cherryfield,4
Addison,4
Harrington,4
Columbia,4
Deblois,4
Eastbrook,4
Mariaville,4
Amherst,4
Aurora,4
Great Pond Plantation,4
Clifton,4
Eddington,4
Bradley,4
Orono,4
Old Town,4
Milford,4
Greenbush,4
Alton,4
Argyle Township,4
Glenburn,4
Hermon,4
Carmel,4
Etna,4
Plymouth,4
Detroit,4
Pittsfield,4
Palmyra,4
Newport,4
Stetson,4
Levant,4
Kenduskeag,4
Hudson,4
Corinth,4
Exeter,4
Corinna,4
Dexter,4
Garland,4
Charleston,4
Bradford,4
Summit Township,4
Falls Township,4
Greenfield Township,4
Devereaux Township,4
Columbia Falls,4
Centerville Township,4
Jonesboro,4
Jonesport,4
Whitneyville,4
Marshfield,4
Machias,4
Rogue Bluffs,4
Machiasport,4
East Machias,4
Cutler,4
Whiting,4
Marion Township,4
Cathance Township,4
Cooper,4
Edmunds Township,4
Trescott Township,4
Lubec,4
Denneysville,4
Pembroke,4
Perry,4
Eastport,4
Robbinston,4
Pleasant Point,4
Charlotte,4
Meddybemps,4
Baring,4
Calais,4
Alexander,4
Crawford,4
Baileyville,4
Princeton,4
Big Lake Township,4
Greenlaw Chopping Township,4
Wesley,4
Northfield,4
Grand Lake Stream Plantation,4
Sakom Township,4
Oqiton Township,4
Burlington,4
Lowell,4
Passadumkeag,4
Edinburg,4
Lagrange,4
Howland,4
Enfield,4
Medford,4
Indian Township,4
Lincoln,4
Mattamiscontis Township,4
Cedar Lake Township,4
Seboeis Plantation,4
Maxfield,4
Orneville Township,4
Atkinson,4
Dover Foxcroft,4
Sangerville,4
Parkman,4
Kingsbury Plantation,4
Abbot,4
Guilford,4
Willimantic,4
Elliotsville Township,4
Katadhin Iron Works Township,4
Ebeemee Township,4
